component,local_path,url,hash,participant_id,file_type,size
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc9d0c4cba0269bc8777,md5:2d5e9897239df6feea87762c209ce9cf,sub-007,,924
P3,erpcore/P3/sub-007/eeg/sub-007_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fca1317620027d382e8b,md5:773aca922ea9a7c0e1259d63590a67e8,sub-007,,55
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c84ba0109089a891364,md5:0f79b5976f1492f228941678e293d9c5,sub-008,,1651
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fca90c4cba0269bc877c,md5:773aca922ea9a7c0e1259d63590a67e8,sub-008,,55
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fca5317620027837fcfd,md5:2d5e9897239df6feea87762c209ce9cf,sub-008,,924
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c89ba010908a4892576,md5:dd5f2fdf414967be2a51b64e1824a612,sub-008,log_files,13928
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c82e80d3708e7a580fd,md5:c665915642fa6408b1e4db4863824972,sub-008,,62177280
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c7b86541a092914b976,md5:b3f747b422beb20d963861567ffe1c4f,sub-008,,512
P3,erpcore/P3/sub-008/eeg/sub-008_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c8786541a092614b572,md5:d5e94e8b662a68684a70dcfdcb0450c8,sub-008,raw_files,3895672
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c9b86541a092314b32d,md5:871abc3e97aa443a2d5dd1c8494474e6,sub-009,log_files,14534
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcae0c4cba026ebcd28f,md5:773aca922ea9a7c0e1259d63590a67e8,sub-009,,55
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c8ce80d3708eca591cd,md5:b3f747b422beb20d963861567ffe1c4f,sub-009,,512
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c9286541a092c14e014,md5:a79f39bfe25b6b7a213b81067ddb0939,sub-009,,47714304
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c95ba01090896890e4c,md5:0b4f350a783876082b522ccb8a9df7a2,sub-009,,1651
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c9886541a092614b590,md5:fbd9a5a7761e98e07386c538c9decaab,sub-009,raw_files,3023496
P3,erpcore/P3/sub-009/eeg/sub-009_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcacc7a976029a9ddf21,md5:2d5e9897239df6feea87762c209ce9cf,sub-009,,924
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcb2317620027d382ebf,md5:2d5e9897239df6feea87762c209ce9cf,sub-010,,924
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077cade80d3708e7a5812f,md5:fbeb8aa84edb2a4d639ba97203399773,sub-010,log_files,14439
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077caae80d3708eca59240,md5:bd8f12c13e12894cd10e25d555c699c2,sub-010,raw_files,3141112
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcb5c7a976029a9ddf3a,md5:773aca922ea9a7c0e1259d63590a67e8,sub-010,,55
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077ca386541a092314b337,md5:ae175a2bddffcbc4cd9e06ae40a81fb8,sub-010,,49606656
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c9d86541a092c14e0f0,md5:b3f747b422beb20d963861567ffe1c4f,sub-010,,512
P3,erpcore/P3/sub-010/eeg/sub-010_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077ca6ba010908a7892e12,md5:c8c3f089b8dbd031b88cd1e928546f4b,sub-010,,1651
P3,erpcore/P3/sub-011/eeg/sub-011_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077cbd86541a092914ba35,md5:b5821cbfbec3662403d673d2aea2daf5,sub-011,log_files,14570
P3,erpcore/P3/sub-011/eeg/sub-011_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcbc317620027d382ed8,md5:773aca922ea9a7c0e1259d63590a67e8,sub-011,,55
P3,erpcore/P3/sub-011/eeg/sub-011_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fcb9c7a976029b9dfabc,md5:2d5e9897239df6feea87762c209ce9cf,sub-011,,924
